Date,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Bond,Bond,Bond,Bond,Bond,Bond,Bond,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,FX,FX,FX,FX,FX,FX,FX,FX,FX,FX,FX,FX,FX,RE,RE,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock
1/4/2016,3.31537E-05,0.150938004,0.0224509,433.0910034,0.00336591,6.48294E-05,3.318989992,0.000129196,3.84E-07,0.284729987,0.000143645,0.954479992,0.587863028,0.00848997,0.000913887,3.495389938,0.0148276,0.067485496,0.434937,0.00196637,0.00664365,0.421873987,1.98183E-05,2.38199997,1.73236E-05,0.000434492,1,0.0214279,0.576057971,0.000202715,0.00174826,0.517387986,0.00595775,1.30019E-05,0.000233815,218.6868,15.201,8.325,211.6655,1.554,2.245,1.879,247.28,351.5,864.5,458.25,167.625,59.425,136.425,37.22,32.81,62.61,14.97,36.76,1.1264,38760,13.85,1074.3,550,883.3,0.7188,1.3951,1.0016,6.5338,6.8888,1.0829,1.4715,7.751,66.5691,119.42,8.8735,0.6749,8.4942,218.06,180.2,26.33749962,112.449997,73.80115509,156,31.84950066,87.30000305,109.2837524,770.5,92.25,60.81000137,1841,130.75,24.33499908,5490,13.43000031,37.09199905,37.97200012,847,63.61999893,1243.733276,259.1000061,54.79999924,8.092499733,150.8999939,1170,14.89400005,2821
1/5/2016,3.32817E-05,0.152576998,0.0238695,431.9599915,0.00337042,6.91112E-05,3.325759888,0.000132622,3.81E-07,0.278052002,0.000137109,0.950176001,0.623584986,0.00882157,0.0010669,3.469670057,0.0146775,0.069778301,0.411482006,0.0018876,0.00640609,0.407931,0.000015797,2.012929916,1.72784E-05,0.000419339,1.000249982,0.0199767,0.554794014,0.000186466,0.00172117,0.499271989,0.00604433,1.32303E-05,0.000172778,219.5615,15.201,8.528,211.8145,1.508,2.25,1.875,249.7,353,867.75,461.25,167.775,61.1,136.775,36.42,33.29,62.68,14.57,35.97,1.1253,37830,13.96,1077.26,544,888.4,0.7157,1.3995,1.0081,6.5138,6.9407,1.0746,1.4671,7.7513,66.4707,119.05,8.9081,0.67,8.5971,220.04,182.18,25.67749977,114,73.36208344,156.5,31.68950081,86.41999817,109.4805756,784.5,91.8199997,61.18999863,1882,131.25,24.34499931,5595,13.55000019,37.12900162,38.07649994,845,63.72999954,1265.06665,261.6000061,55.04999924,8.222499847,151.5,1175,14.89533329,2850.5
1/6/2016,3.25202E-05,0.151160002,0.022678301,429.105011,0.00324541,8.17439E-05,3.377680063,0.000129075,,0.278838992,0.000134536,0.950860024,0.620637,0.00850651,0.00103255,3.453560114,0.0176223,0.077406399,0.408585012,0.0016779,0.00642617,0.403614014,2.08637E-05,2.033960104,1.71642E-05,0.000421626,1,0.0183252,0.603586018,0.000187854,0.00167197,0.505052984,0.00600329,1.29087E-05,0.000150581,219.8199,15.202,,211.9954,1.488,2.177,1.799,248.51,353.25,875.75,462.75,168.325,60.825,136.525,34.23,34.32,62,14.42,33.97,1.0807,36830,14,1094.3,519,875.65,0.7071,1.4071,1.007,6.5554,6.9207,1.0778,1.4626,7.752,66.6885,118.46,8.9498,0.6635,8.5845,218.01,179.97,25.17499924,112.5,72.33757019,157,31.6324997,84.61000061,107.9060211,771.5,88.77999878,60.70000076,1857,131.3300018,24.25499916,5550,13.17000008,37.18099976,37.96649933,841,62.81000137,1242.666626,256.2999878,54.04999924,7.882500172,151.3000031,1168,14.60266686,2818
1/7/2016,3.50822E-05,0.145032004,0.0190768,458.0480042,0.00297898,9.63175E-05,3.381799936,0.000137596,,0.286307007,0.000139256,0.942004979,0.582921028,0.00917304,0.000876031,3.604140043,0.017194999,0.080480099,0.430314988,0.00182545,0.00656463,0.425857991,2.27765E-05,1.974189997,1.83219E-05,0.000450606,1,0.018650999,0.60611999,0.000251758,0.00172767,0.492529005,0.00603918,1.37519E-05,0.000169702,218.9272,,8.818,211.4324,1.561,2.153,1.804,243.46,353,877,468.5,163.825,59.55,133.525,33.75,35.65,61.43,14.75,33.27,1.0656,34600,14.3,1109.1,486,873.8,0.7009,1.4113,0.9932,6.5926,6.8249,1.0934,1.4615,7.7576,66.8812,117.66,8.8814,0.6625,8.4633,212.62,175.41,24.11249924,110.5999985,70.66909027,153.75,30.39699936,82.48999786,105.1505585,755.5,85.44000244,59.75,1823,129.4799957,23.69000053,5410,13.0699997,36.31949997,37.04999924,835,60.27000046,1218.133301,247.3999939,52.16999817,7.570000172,150.8500061,1166,14.37666702,2792
1/8/2016,3.39837E-05,0.146819994,0.018799599,453.230011,0.00292064,9.52041E-05,3.30501008,0.000136006,,0.290769011,0.00015829,0.986788988,0.733420014,0.008889251,0.000879505,3.568880081,0.017466901,0.074148201,0.424046993,0.00205822,0.00646435,0.416220993,1.87404E-05,2.397589922,1.81292E-05,0.000481454,1,0.0181675,0.572854996,0.000271954,0.00168143,0.488417,0.00593331,1.35479E-05,0.000166444,219.2651,15.203,8.859,211.6143,1.5313,2.131,1.772,243.89,357,879.5,478.5,159.425,59.85,132.875,33.55,34.07,61.4,14.46,33.16,1.0521,35480,13.93,1103.84,505,875,0.6951,1.4168,0.9946,6.5932,6.8321,1.0929,1.4517,7.7647,66.8372,117.44,8.8575,0.6538,8.4941,210.52,172.66,24.23999977,107.5500031,69.59335327,151.8000031,30.35250092,80.27999878,102.2474747,741.5,83.44000244,59.72999954,1832,128.3300018,23.24500084,5375,12.69999981,35.7234993,36.54550171,837.5,58.91999817,1192.533325,246,52.33000183,7.40749979,149.6000061,1169,14.0666666,2778.5
1/11/2016,3.71299E-05,0.149848998,0.056533199,448.428009,0.00301427,8.07219E-05,3.149490118,0.000170035,,0.279700995,0.000170692,1.06159997,0.761049986,0.00815266,0.000923817,3.556619883,0.0175929,0.070637301,0.432875007,0.00171758,0.00645909,0.424688995,1.82516E-05,2.311199904,2.69057E-05,0.00044419,1,0.019076699,0.501891017,0.000238761,0.0017395,0.482048988,0.00589466,1.34536E-05,0.000165928,218.484,15.201,8.664,211.3586,1.587,2.158,1.779,243.63,351.75,881,469,159.45,59.7,132.225,31.55,34.01,61.5,14.15,31.41,1.0149,,13.854,1093.86,485,843.41,0.6993,1.4214,1.0015,6.5675,6.8704,1.0859,1.4538,7.7641,66.7502,117.75,8.9366,0.6554,8.5375,210.1,172.64,24.6324997,109.699997,68.75911713,152.3999939,30.88699913,82.30999756,101.1649704,741,83.13999939,58.74000168,1830,128.3600006,23.36499977,5345,12.64999962,35.80149841,36.6534996,845.5,58.83000183,1192.533325,244.8000031,52.29999924,7.420000076,148.5,1160,13.85666657,2763
1/12/2016,3.62332E-05,0.150511995,0.0635956,435.6900024,0.00314571,0.000136252,3.030410051,0.000153315,,0.262347996,0.000179768,1.141000032,1.293380022,0.00792115,0.000914204,3.49368,0.017747801,0.072047502,0.432038009,0.00168337,0.00678796,0.437956005,1.93614E-05,2.308290005,2.17845E-05,0.000422086,1,0.026081299,0.482888997,0.000259866,0.00174339,0.49011299,0.00585438,1.31856E-05,0.000184599,218.1935,15.201,8.664,211.1205,1.609,2.1,1.747,245.15,356.75,890.75,481.25,160.225,61.9,131.6,30.86,32.56,61.59,14.05,30.44,0.9901,32480,13.79,1086.66,470,832.24,0.6983,1.4261,1.0016,6.57,6.8718,1.0854,1.4443,7.7623,66.9362,117.62,8.8752,0.6531,8.5267,212.93,173.95,24.98999977,108.9000015,70.69836426,154.3000031,30.89450073,82.65000153,102.5427017,745,84.84999847,60.27000046,1848,128.8000031,23.69000053,5320,12.68000031,36.30350113,37.26699829,856.5,58.95999908,1200,245.699997,52.77999878,7.545000076,150.199997,1176,13.99800015,2827.5
1/13/2016,0.000036883,0.152042002,0.043490399,432.3710022,0.00325673,0.000155654,3.097670078,0.000141758,,0.272224009,0.000177094,1.125200033,1.195549965,0.00767711,0.000864732,3.476020098,0.0173725,0.0701802,0.439089,0.00159977,0.00899145,0.451781988,1.85969E-05,2.290699959,2.16186E-05,0.000428235,1.000450015,0.022801001,0.549215019,0.000248215,0.001824,0.484302014,0.00579364,1.27518E-05,0.000168623,217.1195,15.201,8.664,211.1817,1.567,2.066,1.744,247.97,358,899,478,160.775,61.625,132.1,30.31,32.84,62.14,14.47,30.48,0.9694,33000,14.12,1093.11,490,847.4,0.6954,1.4337,1.0057,6.5743,6.8605,1.0873,1.4406,7.7612,66.9075,117.66,8.8103,0.6511,8.5288,213.26,174.3,24.34749985,109.3499985,71.0349884,154.5500031,29.09049988,80.01000214,102.6903153,742.5,82.88999939,60.95999908,1838,126.25,23.92499924,5340,12.82999992,35.02799988,35.97850037,848.5,57.34000015,1198.93335,247.6000061,51.63999939,7.315000057,151,1180,13.35400009,2860.5
1/14/2016,3.71194E-05,0.153340995,0.036704499,430.3059998,0.00318346,0.000124806,3.39873004,0.000145762,1.04E-07,0.280115992,0.000174839,1.189589977,1.121649981,0.00737647,0.000865032,3.465990067,0.0164098,0.068149097,0.462451994,0.00157083,0.00846982,0.456167996,1.98436E-05,2.288980007,2.15182E-05,0.000472022,1,0.0256787,0.540602028,0.000284863,0.001914,0.486483008,0.00552936,1.32221E-05,0.000176449,215.8451,15.202,8.747,210.6852,1.576,2.098,1.735,241.67,358,896,468.75,158.8,62.35,130.55,31.03,31.95,61.9,14.88,31.2,0.9808,31850,13.83,1077.6,485,831.74,0.6983,1.4364,1.0044,6.5891,6.8678,1.0864,1.4413,7.782,67.3056,118.04,8.773,0.6468,8.5497,209.82,171.32,24.87999916,106.25,70.16415405,151.8999939,29.64999962,82.90000153,101.2141724,732,80.11000061,59.5699997,1812,128.0700073,23.39500046,5230,13.01000023,35.73600006,36.56949997,822,58.20000076,1170.133301,245.199997,53.11000061,7.167500019,147.8500061,1171,13.74533272,2820
1/15/2016,3.14163E-05,0.151526004,0.045747198,364.3309937,0.00307669,8.04456E-05,3.356590033,0.000127983,8.99E-08,0.230407998,0.000149139,1.208009958,0.952947974,0.00691018,0.00116281,2.996779919,0.0148235,0.067937002,0.370546013,0.00153944,0.00707329,0.369361997,2.17215E-05,1.929859996,2.19397E-05,0.000359942,1,0.020675,0.493782014,0.00025603,0.00173749,0.428456008,0.00522933,1.09618E-05,0.000131638,213.298,15.204,8.747,210.6787,1.559,2.033,1.665,237.75,363.25,879,473.75,154.3,62.025,127.55,28.94,31.38,61.41,14.92,29.42,0.9343,31900,13.921,1088.71,492,829.16,0.6867,1.4538,1.002,6.584,6.8388,1.0914,1.4254,7.7923,67.7646,117.05,8.8293,0.6462,8.5856,206.27,167.12,24.28249931,106.5,69.02987671,149.25,28.50900078,77.47000122,98.99996185,715,78.01999664,58.95999908,1779,126.1399994,22.77000046,5140,12.55000019,34.72249985,35.5245018,804.5,57.04000092,1147.733276,239.1000061,50.99000168,6.777500153,145.8000031,1159,13.66600037,2798.5
